DNA_plate	DNA_well	sid	phylo_entropy	quadratic	unrooted_pd	rooted_pd	bwpd
P8	B11	S754	3.35581	0.982044	107.159	107.159	2.22194
P8	B12	S762	3.03198	0.907547	105.396	105.396	2.16599
P8	B1	S674	3.56326	0.990219	124.186	124.186	2.2303
P8	B2	S682	3.50685	0.973072	122.678	122.678	2.18312
P8	B3	S690	3.29358	0.864483	134.496	134.496	1.9625
P8	B4	S698	3.33349	0.88538	137.918	137.918	2.00324
P8	B5	S706	3.193	0.92487	118.045	118.045	2.15285
P8	B6	S714	3.14942	0.874579	120.049	120.049	2.00372
P8	B7	S722	3.10193	0.938825	105.4	105.4	2.2843
P8	B8	S730	3.17235	0.889566	124.663	124.663	2.04171
P8	B9	S738	3.45319	0.929692	129.843	129.843	2.11667
P8	C10	S747	3.40444	0.921886	126.755	126.755	2.04729
P8	C11	S755	3.35142	0.905013	134.112	134.112	2.05059
P8	C12	S763	3.41759	0.993829	107.993	107.993	2.27205
P8	C1	S675	2.97846	0.991153	25.7631	25.7631	2.23729
P8	C2	S683	3.0367	0.858556	117.468	117.468	2.00633
P8	C3	S691	3.35134	0.892477	128.685	128.685	1.99437
P8	C4	S699	3.44335	0.939366	137.229	137.229	2.13071
P8	C5	S707	3.58246	1.02126	119.545	119.545	2.32567
P8	C6	S715	3.16526	0.950712	102.112	102.112	2.31887
P8	C7	S723	3.15748	0.874104	112.494	112.494	1.98637
P8	C8	S731	3.34833	0.979846	104.851	104.851	2.28808
P8	C9	S739	3.31312	0.93483	118.321	118.321	2.14081
P8	D10	S748	3.51253	0.923708	139.776	139.776	2.05661
P8	D11	S756	3.06862	0.831876	122.339	122.339	1.91503
P8	D12	S764	3.18688	0.907516	120.153	120.153	2.07853
P8	D1	S676	3.31425	0.970305	108.328	108.328	2.1898
P8	D2	S684	3.28505	0.899068	126.815	126.815	2.0619
P8	D3	S692	3.30668	0.858444	145.397	145.397	1.95981
P8	D4	S700	3.51372	1.08569	86.3218	86.3218	2.45884
P8	D5	S708	3.33615	0.906788	134.305	134.305	2.08312
P8	D6	S716	3.49267	1.00696	118.852	118.852	2.24198
P8	D7	S724	3.15019	0.918107	121.33	121.33	2.11974
P8	D8	S732	3.23976	0.853579	129.279	129.279	1.93177
P8	D9	S740	3.04271	0.815448	116.988	116.988	1.87445
P8	E10	S749	3.28399	0.973557	119.281	119.281	2.36809
P8	E11	S757	2.02037	0.716535	12.9451	12.9451	1.63295
P8	E12	S765	3.47944	0.927723	130.383	130.383	2.07459
P8	E1	S677	3.22773	0.932478	110.536	110.536	2.16292
P8	E2	S685	3.23295	0.955219	104.596	104.596	2.24752
P8	E3	S693	3.35318	0.976032	105.341	105.341	2.2713
P8	E4	S701	3.32484	0.86833	137.641	137.641	1.96999
P8	E5	S709	3.22077	0.895132	123.769	123.769	2.02363
P8	E6	S717	3.41436	1.15423	100.694	100.694	2.78307
P8	E7	S725	3.52288	1.01809	132.223	132.223	2.32339
P8	E8	S733	3.47652	0.974576	133.304	133.304	2.2346
